"STATION","NAME","DATE","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-01-15",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-01-16",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-01-17",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-01-18",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-01-19",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-01-20",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-01-21",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-01-22",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-01-23",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-01-24",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-01-25",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-01-26",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-01-27",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-01-28",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-01-29",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-01-30",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-01-31",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-02-01",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-02-02",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-02-03",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-02-04",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-02-05",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-02-06",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-02-07",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-02-08",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-02-09",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-02-10",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-02-11",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-02-12",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-02-13",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-02-14",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-02-15",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-02-16",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-02-17",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-02-18",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-02-19",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-02-20",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-02-21",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-02-22",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-02-23",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-02-24",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-02-25",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-02-26",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-02-27",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-02-28",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-02-29",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-03-01",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-03-02",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-03-03",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-03-04",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-03-05",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-03-06",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-03-07",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-03-08",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-03-09",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-03-10",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-03-11",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-03-12",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-03-13",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-03-14",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-03-15",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-03-16",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-03-17",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-03-18",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-03-19",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-03-20",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-03-21",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-03-22",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-03-23",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-03-24",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-03-25",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-03-26",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-03-27",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-03-28",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-03-29",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-03-30",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-03-31",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-04-02",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-04-03",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-04-04",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-04-05",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-04-06",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-04-07",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-04-08",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-04-09",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-04-10",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-04-11",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-04-12",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-04-13",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-04-14",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-04-15",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-04-16",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-04-17",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-04-18",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-04-19",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-04-20",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-04-21",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-04-22",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-04-23",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-04-24",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-04-25",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-04-26",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-04-27",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-04-28",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-04-29",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-04-30",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-05-01",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-05-02",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-05-03",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-05-04",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-05-05",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-05-06",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-05-07",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-05-08",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-05-09",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-05-10",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-05-11",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-05-12",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-05-13",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-05-14",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-05-15",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-05-16",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-05-17",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-05-18",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-05-19",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-05-20",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-05-21",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-05-22",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-05-23",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-05-24",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-05-25",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-05-26",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-05-27",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-05-28",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-05-29",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-05-30",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-05-31",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-06-01",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-06-02",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-06-03",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-06-04",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-06-05",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-06-06",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-06-07",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-06-08",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-06-09",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-06-10",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-06-11",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-06-12",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-06-13",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-06-14",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-06-15",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-06-16",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-06-17",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-06-18",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-06-19",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-06-20",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-06-21",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-06-22",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-06-23",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-06-24",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-06-25",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-06-26",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-06-27",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-06-28",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-06-29",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-06-30",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-07-01",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-07-02",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-07-03",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-07-04",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-07-05",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-07-06",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-07-07",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-07-08",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-07-09",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-07-10",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-07-11",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-07-12",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-07-13",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-07-14",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-07-15",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-07-16",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-07-17",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-07-18",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-07-19",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-07-20",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-07-21",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-07-22",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-07-23",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-07-24",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-07-25",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-07-26",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-07-27",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-07-28",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-07-29",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-07-30",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-07-31",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-08-01",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-08-02",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-08-03",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-08-04",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-08-05",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-08-06",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-08-07",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-08-08",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-08-09",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-08-10",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-08-11",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-08-12",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-08-13",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-08-14",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","1940-08-15",,,,,,,,,,,,,,,,,,,,,,,,,,
